"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_1.0"	"BOLOTNYI"	"Neotoma"	293	299	"Bolotnyii Stream Exposure 117"	42.85	132.7833	4	"Asia"	"Lake"	"Raw"	16	"AWI"	2	30071	44254	945.5	14183	"Exposure on stream terrace. Physiography: coastal plain. Surrounding vegetation: Quercus mongolica-Betula forest."	"1988-09-20 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	336340.3	"Google Earth"	"Chenhzi: publication unavailable, a lake in the Neotoma map. Lake shapes: ? bog or river? Its a stream-terrace"
"LegacyPollen_1.0"	"Byllatskoye"	"Neotoma"	320	327	"Byllatskoye Exposure, Byllat River, Indigirka Basin"	69.16528	140.0625	316	"Asia"	"Alluvial/Fluvial"	"Raw"	6	"AWI"	3	2924	43921	8199.4	40997	"Exposure in river channel. Physiography: river valley. Surrounding vegetation: open Larix forest."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"CAMPING"	"Neotoma"	328	335	"Chistoye Lake Exposure"	59.55	151.8333	91	"Asia"	"Lake"	"Raw"	12	"AWI"	6	187	7555	669.8	7368	"Peat exposure along lake shore. Physiography: tectonic basin. Surrounding vegetation: Larix dahurica muskeg."	"1994-07-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Anderson, P.M., Belaya, B.V., Glushkova, O.Y. and Lozhkin, A.V., 1997. New data about the vegetation history of northern Priokhot'ye during the Late Pleistocene and Holocene. In: Late Pleistocene and Holocene of Beringia ed. by M.K. Gagiev (pp.33-54). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40161426	"GIS"	"l, LW, L2,"
"LegacyPollen_1.0"	"CHABADA2"	"Neotoma"	346	354	"Chabada Lake"	61.97684	129.3779	290	"Asia"	"Lake"	"Raw"	116	"AWI"	4	-27	13451	117.2	13478	"Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga."	"1990-03-01 00:00:00"	"Tarasov, P.E., Harrison, S.P., Saarse, L., Pushenko, M.Y., Andreev, A.A., Aleshinskaya, Z.V., Davydova, N.N., Dorofeyuk, N.I., Efremov, Y.V., Khomutova, V.I., Sevastyanov, D.V., Tamosaitis, J., Uspenskaya, O.N., Yakushko, O.F. and Tarasova, I.V., 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA."	NA	"Andreev, A.A., Klimanov, V.A., Sulerzhitsky, L.D. and Khotinsky, N.A., 1989. Chronology of environmental changes in central Yakutia during the Holocene. In: Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial) (pp.115-121). Nauka, Moscow, Russia (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1590035	"GIS"	"l, GE, L2,"
"LegacyPollen_1.0"	"CHERYAR"	"Neotoma"	356	364	"Chernyii Yar Exposure 955"	43.18333	134.4333	4	"Asia"	"Alluvial/Fluvial"	"Raw"	35	"AWI"	5	536	13220	373.1	12684	"Alluvium-lagoon terrace. Physiography: swampy area of lower river valley. Surrounding vegetation: Larix-Alnus-Betula forest and bogs."	"1986-06-28 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Golubeva, L.V. and Karaulova, L.P., 1983. The vegetation and stratigraphy of the Pleistocene and Holocene of the southern Far East. Nauka, Moscow (in Russian)."	NA	"Korotky, A.M. and Karaulova, L.P., 1975. New data about the stratigraphy of Quaternary deposits of Primor'ye. In: Questions of geomorphology and Quaternary geology of the southern Far East ed. by A.M. Korotky and A.P. Kulakov (pp.79-110). Far Eastern Branch, USSR Academy of Sciences, Vladivostok (in Russian)."	NA	"Korotkii, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian)."	NA	"Pushkar, V.S., 1979. Biostratigraphy of sediments of the late Anthropogene of the southern Far East. Nauka, Moscow (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"CHESNOK"	"Neotoma"	357	365	"Chesnok Peat, Irtysh River"	60	66.5	42	"Asia"	"Peat"	"Raw"	34	"AWI"	7	229	10712	317.7	10483	"Peat exposure in river bank. Physiography: river valley lowland. Surrounding vegetation: Pinus sylvestris-P. sibirica-Betula."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Bakhareva, V.A., 1985. The palynological characteristics of late Quaternary and Holocene deposits in the vicinity of Perschino village on the Irtysh River. In: The palynostratigraphy of the Mesozoic and Cenozoic of Siberia ed. by V.S. Volkova, and A.F. Khlonova (pp.115-120). Nauka, Novosibirsk (in Russian)."	NA	"Volkov, I.A., Gurtovaya, E.E. and Firsov, L.V., 1973. The structure, age and history of Holocene peat near Gorno-Slinkino village on the Irtysh River. In: The Pleistocene of Siberia and neighboring regions ed. by V.N. Saks (pp.55-68). Nauka, Moscow (in Russian)."	NA	"Volkova, V.S., 1966. The Quaternary deposits of the lower Irtysh River and their biostratigraphic characteristics. Nauka, Novosibirsk (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"DERPUT"	"Neotoma"	664	682	"Derput"	57.03333	124.1167	700	"Asia"	"Peat"	"Raw"	52	"AWI"	5	443	12871	243.7	12428	"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum."	"1986-03-01 00:00:00"	"Andreev, A.A. and Klimanov, V.A., 1991. Izmeneniya rastitel'nost i klimatamezhdurech'ya rek Ungra i Yakokit (Yuzhnaya Yakutia) v golotsene [Vegetation history and climate changes in the interfluve of the rivers Ungra and Yakokit (Southern Yakutia) during the Holocene]. Botanichesky Zhurnal, 76(3), pp.334-351."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"Dlinnoye_Lake"	"Neotoma"	695	715	"Dlinnoye Lake"	67.75673	-178.842	280	"Asia"	"Lake"	"Raw"	11	"AWI"	2	-38	1336	137.4	1374	"Morainally dammed lake. Physiography: glacio-fluvial features in uplands. Surrounding vegetation: graminoid-Salix-Ericales tundra."	"1994-08-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64587.44	"GIS"	"Chenhzi: site description. Lake shapes: ? check in gis. It is definitely a lake."
"LegacyPollen_1.0"	"EK4"	"Neotoma"	769	788	"Elikchan 4 Lake"	51.79	60.73	810	"Asia"	"Lake"	"Raw"	126	"AWI"	9	35	63528	507.9	63493	"Morainally dammed lake. Physiography: valley lowland in mountainous region. Surrounding vegetation: Larix forest."	"1991-04-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Anderson, P.M., Lozhkin, A.V. and Belaya, B.V., 1998. Younger Dryas in western Beringia (northeastern Siberia). In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.28-44). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	"Anderson, P.M. and Lozhkin, A.V., 2001. The Stage 3 interstadial complex (Karginskii/middle Wisconsinan interval) of Beringia: variations in paleoenvironments and implications for paleoclimatic interpretations. Quaternary Science Reviews, 20(1-3), pp.93-125."	"https://doi.org/10.1016/S0277-3791(00)00129-3"	"Lozhkin, A.V., 1995. A late Quaternary pollen record from Elikchan 4 Lake, northeast Siberia. Geology of the Pacific Ocean, 14, pp.18-22."	NA	"Lozhkin, A.V., Anderson, P.M. and Belaya, B.V., 1995. Radiocarbon dates and carbon zones from lacustrine sediments from the region of the Kolyma-Okhotsk drainage divide. Doklady Akademii Nauk, 343(3), pp.396-399 (in Russian)."	NA	NA	NA	NA	NA	NA	NA	3052591	"GIS"	"l, GE, L2, modified LW shape"
"LegacyPollen_1.0"	"ICDP5011-1"	"Neotoma"	772	791	"Elgygytgyn Stream Section"	67.41667	172.0833	490	"Asia"	"Stream"	"Raw"	4	"AWI"	2	5221	5975	251.3	754	"Section on small stream. Physiography: impact crater. Surrounding vegetation: low shrub-lichen tundra with Salix."	"1978-01-01 00:00:00"	"Glushkova, O.Y., Lozhkin, A.V. and Solomatkina, T.B., 1996. Stratigraphy and palaeogeography of the Elgygytgyn Lake in the Holocene (northwestern Chukotka). Geology of the Pacific Ocean, 12(4), pp.617-628 (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"r, ---, ---,"
"LegacyPollen_1.0"	"ELGENNYA"	"Neotoma"	773	792	"Elgennya Lake"	62.08333	149	1040	"Asia"	"Lake"	"Raw"	52	"AWI"	7	-51	18547	364.7	18598	"Morainally dammed lake. Physiography: narrow upland valley bordered by mts. Surrounding vegetation: larch forest-tundra."	"1993-07-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Anderson, P.M., Lozhkin, A.V., Belaya, B.V., Glushkova, O.Y. and Brubaker, L.B., 1997. A lacustrine pollen record from near altitudinal forest limit, upper Kolyma region, northeastern Siberia. The Holocene, 7(3), pp.331-335."	"https://doi.org/10.1177/095968369700700309"	"Lozhkin, A.V., Anderson, P.M., Belaya, B.V., Glushkova, O.Y., Kozhevinkova, M.V. and Kotova, L.N., 1996. Palynological characteristics and radiocarbon dates of sediments from Elgennya Lake, Upper Kolyma. In: Quaternary climates and vegetation of western Beringia ed. by Bychkov, Y.M. (pp.50-64). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.98e+09	"GIS"	"Chenhzi: publication. Lake shapes: l check in gis. It is definitely a lake."
"LegacyPollen_1.0"	"ENM109"	"Neotoma"	779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.1667	491	"Asia"	"Alluvial/Fluvial"	"Raw"	10	"AWI"	6	2065	10865	977.8	8800	"Alluvial terrace. Physiography: impact crater. Surrounding vegetation: low shrub tundra."	"1978-01-01 00:00:00"	"Glushkova, O., Lozhkin, A.V. and Solomatkina, T.B., 1996. Stratigraphy and palaeogeography of the Elgygytgyn Lake in the Holocene (northwestern Chukotka). Geology of the Pacific Ocean, 12(4), pp.617-628 (in Russian)."	NA	"Kaplina, T.N. and Chekovskii, A.L., 1987. Reconstruction of paleogeographic conditons during the Holocene climatic optimum in the Primorski Lowlands of Yakutia. In: Quaternary period of northeast Asia (pp.141-151). SVKNII, DVO USSR Academy of Sciences, Magadan, Russia (in Russian)."	NA	"Lozhkin, A.V. and Vazhenina, L.N., 1987. The characteristics of vegetational development from the Kolyma lowland in the early Holocene. In: Quaternary period of northeast Asia ed. by V.P. Pokhialainen (pp.135-144). North East Interdisciplinary Research Institute, Far East Branch, USSR Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"ENMYN"	"Neotoma"	781	801	"Enmynveem River"	68.25	166	500	"Asia"	"Alluvial/Fluvial"	"Raw"	16	"AWI"	5	2881	10881	533.3	8000	"Exposure of peat and colluvium. Physiography: river valley in rolling uplands. Surrounding vegetation: open Larix dahurica forest."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_1.0"	"ENTARNOY"	"Neotoma"	784	804	"Entarnoye Peat Exposure"	59	78.33333	65	"Asia"	"Peat"	"Raw"	30	"AWI"	5	897	16136	525.5	15239	"River bank exposure. Physiography: river lowland. Surrounding vegetation: Pinus-Betula taiga."	NA	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Arkhipov, S.A., Levina, T.P. and Panychev, V.A., 1980. Palynological characteristics of two Holocene peats from the middle and lower Ob River valley. In: Paleopalynology of Siberia ed. by V.N. Saks (pp.123-127). Nauka, Moscow (in Russian)."	NA	"Neishtadt, M.I., 1976. About environmental changes in middle taiga of western Siberia during the Holocene. In: Palynology of the USSR ed. by E.D. Zaklinskaya and M.I. Neishtadt (pp.156-161). Nauka, Moscow (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_1.0"	"GEK"	"Neotoma"	838	866	"Gek Lake"	63.38333	147.65	969	"Asia"	"Lake"	"Raw"	22	"AWI"	5	23	9896	470.1	9873	"Morainally dammed lake. Physiography: glacial terrain in broad mt. valley. Surrounding vegetation: Larix dahurica forest-shrub tundra."	"1995-07-01 00:00:00"	"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia."	NA	"Stetsenko, T.V., 1998. A pollen record from Holocene Lake deposits in the Malyk-Siena depression, upper Kolyma basin. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.63-68). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23951173	"GIS"	"l, GE, L2, modified LW shape"
