/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): Dust record of sediment core DE3. PANGAEA, https://doi.org/10.1594/PANGAEA.868664, 
15.052	8
15.054	10
15.056	12
15.058	14
15.060	14
15.062	14
15.065	13
15.067	10
15.069	10
15.071	12
15.073	14
15.075	13
15.078	14
15.080	12
15.082	10
15.084	13
15.086	13
15.088	10
15.091	12
15.093	14
15.095	9
15.097	13
15.099	14
15.101	13
15.104	13
15.106	14
15.108	5
15.110	14
15.112	13
15.114	4
15.117	14
15.119	6
15.121	9
15.123	12
15.125	12
15.127	10
15.130	11
15.132	14
15.134	13
15.136	13
15.138	9
15.140	11
15.143	11
15.145	10
15.147	9
15.149	9
15.151	14
15.153	11
15.155	14
15.158	9
15.160	10
15.162	15
15.164	15
15.166	10
15.168	9
15.171	13
15.173	12
15.175	8
15.177	11
15.179	11
15.181	15
15.184	13
15.186	13
15.188	13
15.190	13
15.192	13
15.194	11
15.197	14
15.199	11
15.201	14
15.203	12
15.205	14
15.207	15
15.210	11
15.212	7
15.214	10
15.216	8
15.218	11
15.220	9
15.223	10
15.225	13
15.227	8
15.229	12
15.231	11
15.233	14
15.236	13
15.238	13
15.240	13
15.242	14
15.244	10
15.246	14
15.249	14
15.251	13
15.253	7
15.255	14
15.257	14
15.259	11
15.262	12
15.264	10
15.266	12
15.268	11
15.270	13
15.272	12
15.275	12
15.277	13
15.279	7
15.281	15
15.283	15
15.285	14
15.288	13
15.290	15
15.292	7
15.294	9
15.296	10
15.298	9
15.301	14
15.303	7
15.305	10
15.307	11
15.309	13
15.311	14
15.314	12
15.316	15
15.318	13
15.320	12
15.322	13
15.324	9
15.327	14
15.329	14
15.331	14
15.333	13
15.335	13
15.337	13
15.340	14
15.342	9
15.344	12
15.346	8
15.348	10
15.350	4
15.352	14
15.355	14
15.357	12
15.359	10
15.361	10
15.363	13
15.365	14
15.368	13
15.370	15
15.372	14
15.374	14
15.376	15
15.378	9
15.381	9
15.383	12
15.385	13
15.387	14
15.389	15
15.391	15
15.394	8
15.396	9
15.398	10
15.400	11
15.402	10
15.404	14
15.407	13
15.409	14
15.411	12
15.413	8
15.415	8
15.417	9
15.420	15
15.422	11
15.424	10
15.426	13
15.428	13
15.430	10
15.433	14
15.435	12
15.437	15
15.439	13
15.441	14
15.443	9
15.446	14
15.448	15
15.450	15
15.452	13
15.454	10
15.456	11
15.459	9
15.461	14
15.463	13
15.465	14
15.467	14
15.469	13
15.472	14
15.474	13
15.476	14
15.478	15
15.480	15
15.482	12
15.485	15
15.487	10
15.489	12
15.491	11
15.493	11
15.495	11
15.498	10
15.500	13
15.502	11
15.504	13
15.506	11
15.508	14
15.511	9
15.513	13
15.515	13
15.517	12
15.519	15
15.521	14
15.524	12
15.526	13
15.528	12
15.530	14
15.532	10
15.534	14
15.536	10
15.539	14
15.541	14
15.543	12
15.545	13
15.547	13
15.549	11
15.552	10
15.554	10
15.556	5
15.558	8
15.560	14
15.562	12
15.565	14
15.567	12
15.569	13
15.571	15
15.573	14
15.575	12
15.578	10
15.580	12
15.582	10
15.584	11
15.586	14
15.588	15
15.591	12
15.593	14
15.595	10
15.597	11
15.599	9
15.601	10
15.604	13
15.606	14
15.608	10
15.610	13
15.612	13
15.614	13
15.617	13
15.619	13
15.621	13
15.623	12
15.625	10
15.627	11
15.630	8
15.632	14
15.634	12
15.636	13
15.638	12
15.640	14
15.643	0
15.645	0
15.647	0
15.649	0
15.651	0
15.653	11
15.656	12
15.658	14
15.660	14
15.662	14
15.664	15
15.666	14
15.669	13
15.671	12
15.673	14
15.675	15
15.677	13
15.679	0
15.682	0
15.684	0
15.686	NaN
15.688	NaN
15.690	NaN
15.692	NaN
15.695	NaN
15.697	NaN
15.699	NaN
15.701	NaN
15.703	NaN
15.705	NaN
15.708	NaN
15.710	NaN
15.712	NaN
15.714	NaN
15.716	NaN
15.718	NaN
15.721	NaN
15.723	NaN
15.725	NaN
15.727	NaN
15.729	11
15.731	13
15.733	14
15.736	11
15.738	8
15.740	13
15.742	11
15.744	12
15.746	8
15.749	13
15.751	11
15.753	13
15.755	12
15.757	10
15.759	9
15.762	14
15.764	12
15.766	14
15.768	13
15.770	13
15.772	13
15.775	10
15.777	14
15.779	12
15.781	7
15.783	10
15.785	10
15.788	9
15.790	11
15.792	15
15.794	13
15.796	11
15.798	14
15.801	15
15.803	12
15.805	15
15.807	11
15.809	10
15.811	13
15.814	12
15.816	14
15.818	14
15.820	12
15.822	14
15.824	10
15.827	12
15.829	13
15.831	14
15.833	13
15.835	11
15.837	10
15.840	13
15.842	12
15.844	10
15.846	14
15.848	13
15.850	14
15.853	14
15.855	13
15.857	13
15.859	14
15.861	8
15.863	13
15.866	12
15.868	11
15.870	11
15.872	14
15.874	9
15.876	13
15.879	11
15.881	13
15.883	14
15.885	15
15.887	12
15.889	11
15.892	14
15.894	10
15.896	13
15.898	10
15.900	12
15.902	12
15.905	10
15.907	15
15.909	12
15.911	10
15.913	13
15.915	14
15.917	13
15.920	11
15.922	15
15.924	15
15.926	13
15.928	12
15.930	14
15.933	12
15.935	13
15.937	14
15.939	7
15.941	11
15.943	10
15.946	14
15.948	4
15.950	13
15.952	15
15.954	15
15.956	15
15.959	12
15.961	14
15.963	14
15.965	11
15.967	11
15.969	11
15.972	5
15.974	13
15.976	13
15.978	14
15.980	14
15.982	12
15.985	12
15.987	12
15.989	10
15.991	10
15.993	13
15.995	12
15.998	14
16.000	13
16.002	14
16.004	13
16.006	14
16.008	13
16.011	14
16.013	15
16.015	13
16.017	9
16.019	14
16.021	13
16.024	11
16.026	14
16.028	13
16.030	14
16.032	12
16.034	10
16.037	14
16.039	11
16.041	14
16.043	13
16.045	12
16.047	5
16.050	13
16.052	12
16.054	11
16.056	10
16.058	13
16.060	14
16.063	15
16.065	12
16.067	14
16.069	13
16.071	14
16.073	11
16.076	14
16.078	10
16.080	13
16.082	12
16.084	14
16.086	15
16.089	13
16.091	16
16.093	13
16.095	13
16.097	15
16.099	14
16.102	15
16.104	15
16.106	12
16.108	8
16.110	11
16.112	12
16.114	9
16.117	10
16.119	9
16.121	10
16.123	11
16.125	9
16.127	12
16.130	10
16.132	13
16.134	14
16.136	14
16.138	10
16.140	15
16.143	14
16.145	11
16.147	14
16.149	14
16.151	14
16.153	12
16.156	10
16.158	10
16.160	15
16.162	0
16.164	11
16.166	14
16.169	11
16.171	11
16.173	14
16.175	14
16.177	11
16.179	14
16.182	12
16.184	14
16.186	14
16.188	13
16.190	14
16.192	15
16.195	12
16.197	13
16.199	11
16.201	15
16.203	13
16.205	13
16.208	10
16.210	14
16.212	11
16.214	10
16.216	13
16.218	13
16.221	12
16.223	12
16.225	12
16.227	15
16.229	11
16.231	14
16.234	12
16.236	9
16.238	11
16.240	10
16.242	12
16.244	5
16.247	12
16.249	7
16.251	13
16.253	10
16.255	10
16.257	11
16.260	14
16.262	11
16.264	13
16.266	11
16.268	14
16.270	13
16.273	12
16.275	14
16.277	14
16.279	10
16.281	14
16.283	11
16.286	10
16.288	13
16.290	13
16.292	9
16.294	15
16.296	14
16.299	9
16.301	11
16.303	10
16.305	6
16.307	13
16.309	15
16.311	13
16.314	12
16.316	14
16.318	11
16.320	13
16.322	13
16.324	12
16.327	10
16.329	14
16.331	13
16.333	13
16.335	13
16.337	10
16.340	10
16.342	13
16.344	13
16.346	10
16.348	13
16.350	14
16.353	13
16.355	13
16.357	10
16.359	13
16.361	13
16.363	13
16.366	9
16.368	13
16.370	13
16.372	4
16.374	14
16.376	12
16.379	7
16.381	6
16.383	13
16.385	14
16.387	13
16.389	14
16.392	11
16.394	15
16.396	13
16.398	10
16.400	11
16.402	14
16.405	14
16.407	15
16.409	15
16.411	14
16.413	15
16.415	14
16.418	14
16.420	2
16.422	12
16.424	11
16.426	11
16.428	8
16.431	10
16.433	11
16.435	12
16.437	14
16.439	15
16.441	13
16.444	12
16.446	11
16.448	13
16.450	14
16.452	12
16.454	11
16.457	14
16.459	12
16.461	14
16.463	11
16.465	12
16.467	10
16.470	11
16.472	11
16.474	10
16.476	12
16.478	13
16.480	14
16.483	9
16.485	13
16.487	2
16.489	13
16.491	12
16.493	11
16.495	15
16.498	15
16.500	7
16.502	13
16.504	12
16.506	13
16.508	12
16.511	11
16.513	13
16.515	13
16.517	8
16.519	12
16.521	12
16.524	12
16.526	9
16.528	10
16.530	12
16.532	13
16.534	12
16.537	11
16.539	13
16.541	13
16.543	11
16.545	14
16.547	13
16.550	13
16.552	14
16.554	13
16.556	12
16.558	14
16.560	15
16.563	14
16.565	14
16.567	11
16.569	13
16.571	13
16.573	15
16.576	13
16.578	14
16.580	15
16.582	14
16.584	13
16.586	6
16.589	12
16.591	6
16.593	11
16.595	0
16.597	0
16.599	0
16.602	0
16.604	0
16.606	0
16.608	13
16.610	13
16.612	10
16.615	12
16.617	13
16.619	12
16.621	13
16.623	14
16.625	12
16.628	11
16.630	13
16.632	10
16.634	15
16.636	13
16.638	9
16.641	8
16.643	13
16.645	12
16.647	12
16.649	14
16.651	9
16.654	11
16.656	11
16.658	12
16.660	10
16.662	14
16.664	10
16.667	8
16.669	13
16.671	14
16.673	13
16.675	14
16.677	10
16.680	13
16.682	3
16.684	14
16.686	12
16.688	13
16.690	12
16.692	13
16.695	9
16.697	13
16.699	14
16.701	14
16.703	14
16.705	15
16.708	13
16.710	14
16.712	13
16.714	12
16.716	14
16.718	12
16.721	14
16.723	14
16.725	6
16.727	15
16.729	10
16.731	12
16.734	11
16.736	5
16.738	9
16.740	12
16.742	8
16.744	9
16.747	11
16.749	3
16.751	3
16.753	15
16.755	7
16.757	10
16.760	9
16.762	10
16.764	8
16.766	13
16.768	6
16.770	13
16.773	12
16.775	12
16.777	11
16.779	10
16.781	13
16.783	12
16.786	4
16.788	13
16.790	14
16.792	15
16.794	15
16.796	13
16.799	13
16.801	15
16.803	14
16.805	14
16.807	13
16.809	14
16.812	11
16.814	10
16.816	10
16.818	9
16.820	11
16.822	10
16.825	15
16.827	11
16.829	14
16.831	13
16.833	10
16.835	14
16.838	9
16.840	11
16.842	16
16.844	13
16.846	13
16.848	8
16.851	12
16.853	12
16.855	13
16.857	14
16.859	10
16.861	9
16.864	14
16.866	10
16.868	14
16.870	13
16.872	11
16.874	8
16.877	11
16.879	14
16.881	14
16.883	12
16.885	14
16.887	13
16.889	13
16.892	10
16.894	10
16.896	12
16.898	2
16.900	10
16.902	12
16.905	14
16.907	14
16.909	11
16.911	14
16.913	6
16.915	12
16.918	13
16.920	14
16.922	10
16.924	12
16.926	13
16.928	14
16.931	12
16.933	10
16.935	9
16.937	12
16.939	12
16.941	13
16.944	10
16.946	11
16.948	11
16.950	11
16.952	11
16.954	12
16.957	15
16.959	13
16.961	13
16.963	15
16.965	9
16.967	14
16.970	12
16.972	9
16.974	10
16.976	11
16.978	15
16.980	11
16.983	14
16.985	12
16.987	15
16.989	14
16.991	13
16.993	11
16.996	13
16.998	12
17.000	12
17.002	12
17.004	14
17.006	11
17.009	15
17.011	11
17.013	13
17.015	4
17.017	12
17.019	13
17.022	7
17.024	10
17.026	7
17.028	12
17.030	4
17.032	4
17.035	0
17.037	13
17.039	10
17.041	14
17.043	13
17.045	12
17.048	16
17.050	13
17.052	14
17.054	15
17.056	15
17.058	14
17.061	13
17.063	13
17.065	13
17.067	14
17.069	13
17.071	15
17.073	15
17.076	14
17.078	5
17.080	12
17.082	10
17.084	12
17.086	13
17.089	13
17.091	15
17.093	11
17.095	14
17.097	14
17.099	12
17.102	12
17.104	13
17.106	10
17.108	11
17.110	10
17.112	12
17.115	15
17.117	13
17.119	14
17.121	15
17.123	14
17.125	13
17.128	13
17.130	15
17.132	14
17.134	15
17.136	15
17.138	14
17.141	14
17.143	14
17.145	12
17.147	3
17.149	12
17.151	13
17.154	14
17.156	13
17.158	13
17.160	12
17.162	13
17.164	10
17.167	14
17.169	13
17.171	15
17.173	13
17.175	9
17.177	14
17.180	12
17.182	13
17.184	14
17.186	13
17.188	13
17.190	10
17.193	14
17.195	13
17.197	12
17.199	14
17.201	14
17.203	14
17.206	9
17.208	13
17.210	13
17.212	15
17.214	12
17.216	10
17.219	13
17.221	15
17.223	14
17.225	11
17.227	10
17.229	14
17.232	14
17.234	15
17.236	9
17.238	10
17.240	10
17.242	11
17.245	14
17.247	13
17.249	13
17.251	10
17.253	11
17.255	14
17.258	12
17.260	12
17.262	13
17.264	15
17.266	14
17.268	9
17.270	10
17.273	14
17.275	11
17.277	13
17.279	13
17.281	13
17.283	11
17.286	12
17.288	4
17.290	12
17.292	7
17.294	4
17.296	6
17.299	14
17.301	15
17.303	15
17.305	14
17.307	15
17.309	16
17.312	14
17.314	15
17.316	14
17.318	15
17.320	13
17.322	12
