/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): TOC content in sediment core AU2. PANGAEA, https://doi.org/10.1594/PANGAEA.868673, 
	In supplement to: Sirocko, F et al. (2016): The ELSA-Vegetation-Stack: Reconstruction of Landscape Evolution Zones (LEZ) from laminated Eifel maar sediments of the last 60,000years. Global and Planetary Change, 142, 108-135, https://doi.org/10.1016/j.gloplacha.2016.03.005
Related to:	Brunck, Heiko; Sirocko, Frank; Albert, Johannes (2016): The ELSA-Flood-Stack: A reconstruction from the laminated sediments of Eifel maar structures during the last 60000 years. Global and Planetary Change, 142, 136-146, https://doi.org/10.1016/j.gloplacha.2015.12.003
	Förster, Michael W; Sirocko, Frank (2016): The ELSA tephra stack: Volcanic activity in the Eifel during the last 500,000 years. Global and Planetary Change, 142, 100-107, https://doi.org/10.1016/j.gloplacha.2015.07.012
	Sirocko, Frank (2016): The ELSA - Stacks (Eifel-Laminated-Sediment-Archive): An introduction. Global and Planetary Change, 142, 96-99, https://doi.org/10.1016/j.gloplacha.2016.03.011
Other version:	The ELSA Stacks - Online Resouce University of Mainz, Germany (URI: https://elsa-project.de/)
Coverage:	LATITUDE: 50.283830 * LONGITUDE: 6.595740
	MINIMUM DEPTH, sediment/rock: 2.15 m * MAXIMUM DEPTH, sediment/rock: 113.95 m
Event(s):	ELSA_AU2 (AU2) * LATITUDE: 50.283830 * LONGITUDE: 6.595740 * ELEVATION: 453.0 m * Recovery: 123 m * LOCATION: Aueler Maar, Eifel, Germany * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: Gauß-Krüger coordinate system: 2542455/5572017
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Age [ka b2k] (Age) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Carbon, organic, total [%] (TOC) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	1014 data points
*/
Depth sed [m]	Age [ka b2k]	TOC [%]
34.75	27.483	1.593
34.95	27.525	0.643
35.15	27.567	0.650
35.35	27.608	0.645
35.55	27.650	0.604
35.75	27.692	0.493
35.95	27.733	0.563
36.15	27.775	0.586
36.35	27.817	0.681
36.55	27.858	0.527
36.75	27.900	0.418
36.95	27.940	0.663
37.15	27.980	0.659
37.35	28.020	0.681
37.55	28.060	0.684
37.75	28.100	0.722
37.95	28.140	0.677
38.15	28.180	0.704
38.35	28.220	0.793
38.55	28.260	0.834
38.75	28.300	0.654
38.95	28.340	0.628
39.15	28.380	0.663
39.35	28.420	0.749
39.55	28.460	1.396
39.75	28.500	2.063
39.95	28.550	2.111
40.15	28.601	0.705
40.35	28.651	0.616
40.55	28.701	0.675
40.75	28.751	0.633
40.95	28.802	0.563
41.15	28.852	0.599
41.35	28.902	0.590
41.55	28.953	0.659
41.75	29.003	0.663
41.95	29.053	0.397
42.15	29.104	0.743
42.35	29.154	0.723
42.55	29.204	0.657
42.75	29.254	0.690
42.95	29.305	0.622
43.15	29.355	0.664
43.35	29.405	0.597
43.55	29.456	0.586
43.75	29.506	0.601
43.95	29.556	0.618
44.25	29.632	0.609
44.45	29.682	0.559
44.65	29.732	0.618
44.85	29.783	0.728
44.95	29.808	0.683
45.05	29.833	0.732
45.25	29.883	0.683
45.45	29.933	0.715
45.65	29.984	0.678
45.85	30.034	0.712
46.05	30.084	0.720
46.25	30.135	0.742
46.45	30.185	0.587
46.65	30.234	0.638
46.85	30.282	0.693
47.05	30.330	0.731
47.25	30.378	0.743
47.45	30.426	0.761
47.65	30.474	0.666
47.85	30.522	0.716
48.05	30.570	0.668
48.25	30.618	0.599
48.45	30.666	0.617
48.65	30.714	0.675
48.85	30.762	0.575
49.05	30.810	0.569
49.25	30.858	0.636
49.45	30.906	0.631
49.65	30.954	0.582
49.85	31.002	0.533
50.05	31.050	0.583
50.25	31.098	0.680
50.45	31.146	0.679
50.65	31.194	0.688
50.85	31.242	0.657
51.05	31.290	0.867
51.25	31.338	0.908
51.45	31.386	0.801
51.65	31.434	0.788
51.85	31.482	0.859
52.05	31.530	0.739
52.25	31.578	0.712
52.45	31.626	0.905
52.65	31.674	0.863
52.85	31.722	0.847
53.05	31.770	0.734
53.25	31.818	0.679
53.45	31.866	0.672
53.65	31.914	0.680
53.85	31.962	0.716
54.05	32.010	0.742
54.25	32.058	0.839
54.45	32.106	0.806
54.65	32.154	0.741
54.85	32.202	0.964
55.05	32.250	1.392
55.25	32.380	0.537
55.45	32.510	0.609
55.65	32.640	0.602
55.85	32.770	0.482
56.05	32.900	0.699
56.25	33.030	0.653
56.45	33.160	0.698
56.65	33.290	0.764
56.85	33.420	1.170
57.05	33.550	1.407
57.25	33.609	1.381
57.45	33.669	1.216
57.65	33.728	0.927
57.85	33.787	0.424
58.05	33.847	0.377
58.25	33.906	0.400
58.45	33.965	0.363
58.65	34.025	0.430
58.85	34.084	0.384
59.15	34.173	0.426
59.35	34.232	0.435
59.55	34.292	0.418
59.75	34.351	0.386
59.95	34.410	0.450
60.15	34.469	0.447
60.35	34.529	0.576
60.55	34.588	0.492
60.75	34.647	0.416
60.95	34.707	0.514
61.15	34.766	0.498
61.35	34.825	0.503
61.55	34.885	0.522
61.75	34.944	0.620
61.95	35.003	0.680
62.15	35.063	0.845
62.35	35.122	0.940
62.55	35.181	0.981
62.75	35.241	1.096
62.95	35.300	1.226
63.15	35.474	0.899
63.35	35.647	0.948
63.55	35.821	0.782
63.75	35.994	0.831
63.95	36.168	0.581
64.15	36.341	0.554
64.35	36.515	0.924
64.55	36.688	1.101
64.75	36.862	0.946
64.95	37.035	1.099
65.15	37.209	1.038
65.35	37.382	1.314
65.55	37.556	1.420
65.75	37.729	1.348
65.95	37.903	1.648
66.15	38.076	1.600
66.35	38.250	1.791
66.55	38.387	1.788
66.75	38.523	1.606
66.95	38.660	1.392
67.15	38.797	0.896
67.35	38.933	0.680
67.55	39.070	0.652
67.75	39.207	0.726
67.95	39.343	0.640
68.15	39.480	0.747
68.35	39.617	0.755
68.55	39.753	0.679
68.75	39.890	0.833
68.95	40.027	1.014
69.15	40.163	0.809
69.35	40.300	1.806
69.55	40.377	1.298
69.75	40.455	0.887
69.95	40.532	0.841
70.15	40.609	1.226
70.35	40.687	1.091
70.55	40.764	1.240
70.75	40.841	0.793
70.95	40.919	0.616
71.15	40.996	0.501
71.35	41.067	0.899
71.55	41.137	0.865
71.75	41.208	0.997
71.95	41.278	0.914
72.15	41.348	1.196
72.35	41.419	1.568
72.55	41.489	1.433
72.75	41.559	1.492
72.95	41.630	1.167
73.15	41.700	1.612
73.35	41.777	0.837
73.55	41.855	0.520
73.75	41.932	0.820
73.95	42.009	0.873
74.15	42.086	0.961
74.35	42.164	0.856
74.55	42.241	0.951
74.75	42.318	0.914
74.95	42.395	0.979
75.15	42.473	0.979
75.35	42.550	1.152
75.55	42.627	1.112
75.75	42.705	1.214
75.95	42.782	1.185
76.15	42.859	1.171
76.35	42.936	1.248
76.55	43.014	1.380
76.75	43.091	1.845
76.95	43.168	2.405
77.15	43.245	1.820
77.35	43.323	1.945
77.55	43.400	2.437
77.75	43.425	2.398
77.95	43.449	2.371
78.35	43.498	1.816
78.55	43.523	0.735
78.75	43.547	0.666
78.95	43.572	0.715
79.15	43.596	0.615
79.35	43.621	0.794
79.55	43.645	0.740
79.75	43.670	0.527
79.95	43.694	0.666
80.15	43.719	0.727
80.35	43.743	0.636
80.55	43.768	0.603
80.75	43.792	0.641
80.95	43.817	0.507
81.15	43.841	0.662
81.35	43.866	0.592
81.55	43.890	0.507
81.75	43.931	0.708
81.95	43.982	0.671
82.15	44.033	0.767
82.35	44.084	0.760
82.55	44.135	0.701
82.75	44.186	0.870
82.95	44.238	0.730
83.15	44.289	0.860
83.35	44.340	0.818
83.55	44.391	0.904
83.75	44.442	0.933
83.95	44.493	0.976
84.15	44.544	1.185
84.35	44.595	1.196
84.55	44.647	1.380
84.75	44.698	1.302
84.95	44.749	1.606
85.15	44.800	2.177
85.35	44.913	1.376
85.55	45.025	1.444
85.75	45.138	1.364
85.95	45.251	1.537
86.15	45.363	1.536
86.35	45.476	1.310
86.55	45.589	1.861
86.75	45.701	1.898
86.95	45.814	1.897
87.15	45.926	1.929
87.35	46.039	1.905
87.55	46.152	2.151
87.75	46.264	2.152
87.95	46.377	2.200
88.15	46.490	2.483
88.35	46.602	3.461
88.55	46.715	3.165
88.75	46.828	3.427
89.15	47.053	3.877
89.35	47.166	3.889
89.55	47.300	3.965
89.75	47.500	3.065
89.95	47.700	2.863
90.15	47.900	1.478
90.35	48.063	1.707
90.55	48.226	1.794
90.75	48.389	2.283
90.95	48.552	3.227
91.15	48.715	3.552
91.35	48.878	6.876
91.55	49.031	7.198
91.75	49.155	6.438
91.95	49.279	8.991
92.15	49.402	8.959
92.35	49.526	7.467
92.55	49.650	9.351
92.75	50.075	8.703
92.95	50.500	8.632
93.15	50.925	8.924
93.35	51.350	7.251
93.55	51.775	6.441
93.75	52.200	2.827
93.95	52.700	8.823
94.15	53.200	5.294
94.35	53.700	9.633
94.55	53.821	8.807
94.75	53.942	7.111
94.95	54.063	7.691
95.15	54.184	6.208
95.35	54.305	5.463
95.55	54.426	3.139
95.75	54.547	4.550
95.95	54.667	2.976
96.15	54.788	4.595
96.35	54.909	5.255
96.55	55.300	4.123
96.75	55.525	3.106
96.95	55.750	8.418
97.15	55.900	8.275
97.35	56.050	3.912
97.55	56.200	3.063
97.75	56.350	6.899
97.95	56.500	8.321
98.15	56.667	8.272
98.35	56.833	2.342
98.55	57.000	1.735
98.75	57.433	1.542
98.95	57.867	6.895
99.15	58.300	7.453
99.35	58.500	5.900
99.55	58.700	6.218
99.75	58.829	4.730
99.95	58.957	4.583
100.15	59.086	4.553
100.35	59.214	4.653
100.55	59.343	4.523
100.75	59.471	4.560
100.95	59.600	5.897
101.15	59.680	4.823
101.35	59.760	4.605
101.55	59.840	4.700
101.75	59.920	3.855
101.95	60.000	8.852
102.15	60.113	6.289
102.35	60.225	3.839
102.55	60.338	2.639
102.75	60.450	1.621
102.95	60.542	2.126
103.75	60.911	2.620
103.95	61.003	1.583
105.75	61.832	0.424
106.35	62.108	0.579
106.55	62.200	0.485
106.75	62.266	0.669
106.95	62.332	0.895
107.15	62.399	0.518
107.35	62.465	0.435
107.55	62.531	1.023
107.75	62.597	1.156
107.95	62.664	1.143
108.55	62.862	1.023
108.75	62.928	0.461
108.95	62.995	1.039
109.55	63.193	0.525
109.75	63.259	0.710
109.95	63.326	1.552
110.75	63.591	0.602
110.95	63.657	0.803
111.75	63.922	0.822
111.95	63.988	0.581
112.35	64.120	0.776
112.55	64.186	0.378
112.75	64.253	0.896
112.95	64.319	0.991
113.75	64.584	1.131
113.95	64.650	2.625
